date,total_tokens
2026-03-17,0
2026-03-17,0
2026-03-17,0
2026-03-17,25313
2026-03-17,0
2026-03-17,0
2026-03-17,25034
2026-03-17,25034
2026-03-17,55115
2026-03-17,55115
2026-03-17,55115
2026-03-17,80840
2026-03-17,80840
2026-03-17,80840
2026-03-17,106153
2026-03-17,106153
2026-03-17,131168
2026-03-17,131168
2026-03-17,156818
2026-03-17,156818
2026-03-17,0
2026-03-17,25034
2026-03-17,55115
2026-03-17,80840
2026-03-17,106153
2026-03-17,131168
2026-03-17,156818
2026-03-17,156818
2026-03-17,0
2026-03-17,25034
2026-03-17,55115
2026-03-17,80840
2026-03-17,0
2026-03-17,25034
2026-03-17,55115
2026-03-17,80840
2026-03-17,106153
2026-03-17,106153
2026-03-17,106153
2026-03-17,106153
2026-03-17,106153
2026-03-17,131168
2026-03-17,131168
2026-03-17,156818
2026-03-17,156818
2026-03-17,184044
2026-03-18,184044
2026-03-18,184044
2026-03-18,184044
2026-03-18,184044
2026-03-18,184044
2026-03-18,184044
2026-03-18,184044
2026-03-18,0
2026-03-18,131168
2026-03-18,268504
